"bases","regioes","periodos","unidades_de_medida","download_ok","leitura_ok"
"mensal","NORTE",2014,"Mwmed",TRUE,TRUE
"anual","SIN",2014,"Mwmed",TRUE,TRUE
"mensal","SIN",2014,"Mwmed",TRUE,TRUE
"anual","SE/CO",2015,"Mwmed",TRUE,TRUE
"mensal","SE/CO",2015,"Mwmed",TRUE,TRUE
"anual","SUL",2015,"Mwmed",TRUE,TRUE
"mensal","SUL",2015,"Mwmed",TRUE,TRUE
"anual","NORDESTE",2015,"Mwmed",TRUE,TRUE
"mensal","NORDESTE",2015,"Mwmed",TRUE,TRUE
"anual","NORTE",2015,"Mwmed",TRUE,TRUE
"mensal","NORTE",2015,"Mwmed",TRUE,TRUE
"anual","SIN",2015,"Mwmed",TRUE,TRUE
"mensal","SIN",2015,"Mwmed",TRUE,TRUE
"anual","SE/CO",2016,"Mwmed",TRUE,TRUE
"mensal","SE/CO",2016,"Mwmed",TRUE,TRUE
"anual","SUL",2016,"Mwmed",TRUE,TRUE
"mensal","SUL",2016,"Mwmed",TRUE,TRUE
"anual","NORDESTE",2016,"Mwmed",TRUE,TRUE
"mensal","NORDESTE",2016,"Mwmed",TRUE,TRUE
"anual","NORTE",2016,"Mwmed",TRUE,TRUE
"mensal","NORTE",2016,"Mwmed",TRUE,TRUE
"anual","SIN",2016,"Mwmed",TRUE,TRUE
"mensal","SIN",2016,"Mwmed",TRUE,TRUE
"anual","SE/CO",2000,"GWh",TRUE,TRUE
"mensal","SE/CO",2000,"GWh",TRUE,TRUE
"anual","SUL",2000,"GWh",TRUE,TRUE
"mensal","SUL",2000,"GWh",TRUE,TRUE
"anual","NORDESTE",2000,"GWh",TRUE,TRUE
"mensal","NORDESTE",2000,"GWh",TRUE,TRUE
"anual","NORTE",2000,"GWh",TRUE,TRUE
"mensal","NORTE",2000,"GWh",TRUE,TRUE
"anual","SIN",2000,"GWh",TRUE,TRUE
"mensal","SIN",2000,"GWh",TRUE,TRUE
"anual","SE/CO",2001,"GWh",TRUE,TRUE
"mensal","SE/CO",2001,"GWh",TRUE,TRUE
"anual","SUL",2001,"GWh",TRUE,TRUE
"mensal","SUL",2001,"GWh",TRUE,TRUE
"anual","NORDESTE",2001,"GWh",TRUE,TRUE
"mensal","NORDESTE",2001,"GWh",TRUE,TRUE
"anual","NORTE",2001,"GWh",TRUE,TRUE
"mensal","NORTE",2001,"GWh",TRUE,TRUE
"anual","SIN",2001,"GWh",TRUE,TRUE
"mensal","SIN",2001,"GWh",TRUE,TRUE
"anual","SE/CO",2002,"GWh",TRUE,TRUE
"mensal","SE/CO",2002,"GWh",TRUE,TRUE
"anual","SUL",2002,"GWh",TRUE,TRUE
"mensal","SUL",2002,"GWh",TRUE,TRUE
"anual","NORDESTE",2002,"GWh",TRUE,TRUE
"mensal","NORDESTE",2002,"GWh",TRUE,TRUE
"anual","NORTE",2002,"GWh",TRUE,TRUE
"mensal","NORTE",2002,"GWh",TRUE,TRUE
"anual","SIN",2002,"GWh",TRUE,TRUE
"mensal","SIN",2002,"GWh",TRUE,TRUE
"anual","SE/CO",2003,"GWh",TRUE,TRUE
"mensal","SE/CO",2003,"GWh",TRUE,TRUE
"anual","SUL",2003,"GWh",TRUE,TRUE
"mensal","SUL",2003,"GWh",TRUE,TRUE
"anual","NORDESTE",2003,"GWh",TRUE,TRUE
"mensal","NORDESTE",2003,"GWh",TRUE,TRUE
"anual","NORTE",2003,"GWh",TRUE,TRUE
"mensal","NORTE",2003,"GWh",TRUE,TRUE
"anual","SIN",2003,"GWh",TRUE,TRUE
"mensal","SIN",2003,"GWh",TRUE,TRUE
"anual","SE/CO",2004,"GWh",TRUE,TRUE
"mensal","SE/CO",2004,"GWh",TRUE,TRUE
"anual","SUL",2004,"GWh",TRUE,TRUE
